UniProt_ID	Gene_Name	Protein_Name	Subcellular_Location	Domain_Information
A0A0U1RRE5	NBDY	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)	SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000269|PubMed:27918561}. Note=Localizes to P-bodies at low concentrations without dissociating them. {ECO:0000269|PubMed:27918561}.	
A0A499FJK2	TGFB1	Transforming growth factor beta	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000256|ARBA:ARBA00004498}.	
A1A4S6	ARHGAP10	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Cell membrane {ECO:0000250}. Endosome membrane {ECO:0000269|PubMed:32344433}. Note=Association to cell membrane is dependent on PH domain. Colocalized with MICAL1, RAB8A, RAB8B and RAB10 on endosomal tubules (PubMed:32344433). {ECO:0000250, ECO:0000269|PubMed:32344433}.	DOMAIN: The BAR domain is important to associate RAB8A (or RAB8B) and RAB10 to endosomal membrane to promote tubule extension. The BAR domain is also important to recruit WDR44 to endosomal tubules. {ECO:0000269|PubMed:32344433}.
A1L390	PLEKHG3	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:27555588}. Note=Colocalizes with actin at the leading edge of polarized cells. {ECO:0000269|PubMed:27555588}.	
A7MD48	SRRM4	Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8BKA3}.	
A9UHW6	MIF4GD	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18025107}. Nucleus {ECO:0000269|PubMed:18025107}.	
B2RUZ4	SMIM1	Small integral membrane protein 1 (Vel blood group antigen)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26452714}; Single-pass type II membrane protein {ECO:0000269|PubMed:26452714}.	DOMAIN: The extracellular domain carries the Vel antigen. {ECO:0000269|PubMed:26452714}.
B7ZAQ6	GPR89A	Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:18794847}; Multi-pass membrane protein {ECO:0000255}.	
K9M1U5	IFNL4	Interferon lambda-4 (IFN-lambda-4)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23291588}. Secreted {ECO:0000269|PubMed:23291588}.	
O00151	PDLIM1	PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10861853, ECO:0000269|PubMed:11110697}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10861853, ECO:0000269|PubMed:11110697}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:10861853}. Note=Associates with actin stress fibers. {ECO:0000269|PubMed:11110697}.	
